,B:suspect,B:victim,B:concept,B:object,B:none,C:human,C:object,C:none,C:concept,F:murderer,F:victim,F:object,F:concept
0,-0.051086664,-0.08813654,0.5873443,0.19048421,-0.009115864,0.19441767,-0.5352238,-0.13584575,0.15059306,0.119363315,-0.77888423,0.104744926,0.99228454
1,-0.051086664,-0.08813654,0.5873443,0.19048421,-0.009115864,0.19441767,-0.5352238,-0.13584575,0.15059306,0.119363315,-0.77888423,0.104744926,0.99228454
2,-0.051086664,-0.08813654,0.5873443,0.19048421,-0.009115864,0.19441767,-0.5352238,-0.13584575,0.15059306,0.119363315,-0.77888423,0.104744926,0.99228454
3,-0.051086664,-0.08813654,0.5873443,0.19048421,-0.009115864,0.19441767,-0.5352238,-0.13584575,0.15059306,0.119363315,-0.77888423,0.104744926,0.99228454
4,1.0474848,0.54137206,0.31654388,0.12713721,-0.59593546,0.70642287,0.38780162,-0.7938233,0.92172897,0.5139509,0.19471852,-0.035594486,1.0989132
5,1.0474848,0.54137206,0.31654388,0.12713721,-0.59593546,0.70642287,0.38780162,-0.7938233,0.92172897,0.5139509,0.19471852,-0.035594486,1.0989132
6,1.0474848,0.54137206,0.31654388,0.12713721,-0.59593546,0.70642287,0.38780162,-0.7938233,0.92172897,0.5139509,0.19471852,-0.035594486,1.0989132
7,1.0474848,0.54137206,0.31654388,0.12713721,-0.59593546,0.70642287,0.38780162,-0.7938233,0.92172897,0.5139509,0.19471852,-0.035594486,1.0989132
8,-0.60298973,-0.015442442,0.66459084,0.02483004,0.41258764,0.043062776,-0.1497301,-0.24781081,0.5614878,-0.4958829,-1.088082,0.007219713,0.91195846
9,-0.60298973,-0.015442442,0.66459084,0.02483004,0.41258764,0.043062776,-0.1497301,-0.24781081,0.5614878,-0.4958829,-1.088082,0.007219713,0.91195846
10,-0.60298973,-0.015442442,0.66459084,0.02483004,0.41258764,0.043062776,-0.1497301,-0.24781081,0.5614878,-0.4958829,-1.088082,0.007219713,0.91195846
11,-0.60298973,-0.015442442,0.66459084,0.02483004,0.41258764,0.043062776,-0.1497301,-0.24781081,0.5614878,-0.4958829,-1.088082,0.007219713,0.91195846
12,0.2811469,-0.13292785,0.11730075,-0.24263592,0.044349562,0.47961593,-0.5095601,0.24816361,-0.07209432,0.07125064,0.2381393,-0.4225237,0.52956945
13,0.2811469,-0.13292785,0.11730075,-0.24263592,0.044349562,0.47961593,-0.5095601,0.24816361,-0.07209432,0.07125064,0.2381393,-0.4225237,0.52956945
14,0.2811469,-0.13292785,0.11730075,-0.24263592,0.044349562,0.47961593,-0.5095601,0.24816361,-0.07209432,0.07125064,0.2381393,-0.4225237,0.52956945
15,0.2811469,-0.13292785,0.11730075,-0.24263592,0.044349562,0.47961593,-0.5095601,0.24816361,-0.07209432,0.07125064,0.2381393,-0.4225237,0.52956945
16,1.3420473,0.5066139,0.092200264,-0.28393033,-0.7924294,0.810389,-0.2860888,-0.35007042,1.1543603,1.200907,-0.2083869,-0.3007022,0.2589574
17,1.3420473,0.5066139,0.092200264,-0.28393033,-0.7924294,0.810389,-0.2860888,-0.35007042,1.1543603,1.200907,-0.2083869,-0.3007022,0.2589574
18,1.3420473,0.5066139,0.092200264,-0.28393033,-0.7924294,0.810389,-0.2860888,-0.35007042,1.1543603,1.200907,-0.2083869,-0.3007022,0.2589574
19,1.3420473,0.5066139,0.092200264,-0.28393033,-0.7924294,0.810389,-0.2860888,-0.35007042,1.1543603,1.200907,-0.2083869,-0.3007022,0.2589574
20,1.3420473,0.5066139,0.092200264,-0.28393033,-0.7924294,0.810389,-0.2860888,-0.35007042,1.1543603,1.200907,-0.2083869,-0.3007022,0.2589574
21,1.3420473,0.5066139,0.092200264,-0.28393033,-0.7924294,0.810389,-0.2860888,-0.35007042,1.1543603,1.200907,-0.2083869,-0.3007022,0.2589574
22,1.3420473,0.5066139,0.092200264,-0.28393033,-0.7924294,0.810389,-0.2860888,-0.35007042,1.1543603,1.200907,-0.2083869,-0.3007022,0.2589574
23,1.3420473,0.5066139,0.092200264,-0.28393033,-0.7924294,0.810389,-0.2860888,-0.35007042,1.1543603,1.200907,-0.2083869,-0.3007022,0.2589574
24,1.3420473,0.5066139,0.092200264,-0.28393033,-0.7924294,0.810389,-0.2860888,-0.35007042,1.1543603,1.200907,-0.2083869,-0.3007022,0.2589574
25,1.3420473,0.5066139,0.092200264,-0.28393033,-0.7924294,0.810389,-0.2860888,-0.35007042,1.1543603,1.200907,-0.2083869,-0.3007022,0.2589574
26,1.3420473,0.5066139,0.092200264,-0.28393033,-0.7924294,0.810389,-0.2860888,-0.35007042,1.1543603,1.200907,-0.2083869,-0.3007022,0.2589574
27,1.3420473,0.5066139,0.092200264,-0.28393033,-0.7924294,0.810389,-0.2860888,-0.35007042,1.1543603,1.200907,-0.2083869,-0.3007022,0.2589574
28,-0.979704,-0.07996321,0.07451166,-0.033747014,0.74754834,-1.543678,-0.6246635,1.1846534,-0.41918573,-0.48847777,-0.0324495,-0.5287648,0.5483438
29,-0.979704,-0.07996321,0.07451166,-0.033747014,0.74754834,-1.543678,-0.6246635,1.1846534,-0.41918573,-0.48847777,-0.0324495,-0.5287648,0.5483438
30,-0.979704,-0.07996321,0.07451166,-0.033747014,0.74754834,-1.543678,-0.6246635,1.1846534,-0.41918573,-0.48847777,-0.0324495,-0.5287648,0.5483438
31,-0.979704,-0.07996321,0.07451166,-0.033747014,0.74754834,-1.543678,-0.6246635,1.1846534,-0.41918573,-0.48847777,-0.0324495,-0.5287648,0.5483438
32,-0.979704,-0.07996321,0.07451166,-0.033747014,0.74754834,-1.543678,-0.6246635,1.1846534,-0.41918573,-0.48847777,-0.0324495,-0.5287648,0.5483438
33,-0.979704,-0.07996321,0.07451166,-0.033747014,0.74754834,-1.543678,-0.6246635,1.1846534,-0.41918573,-0.48847777,-0.0324495,-0.5287648,0.5483438
34,-0.979704,-0.07996321,0.07451166,-0.033747014,0.74754834,-1.543678,-0.6246635,1.1846534,-0.41918573,-0.48847777,-0.0324495,-0.5287648,0.5483438
35,-0.979704,-0.07996321,0.07451166,-0.033747014,0.74754834,-1.543678,-0.6246635,1.1846534,-0.41918573,-0.48847777,-0.0324495,-0.5287648,0.5483438
36,-0.979704,-0.07996321,0.07451166,-0.033747014,0.74754834,-1.543678,-0.6246635,1.1846534,-0.41918573,-0.48847777,-0.0324495,-0.5287648,0.5483438
37,-0.979704,-0.07996321,0.07451166,-0.033747014,0.74754834,-1.543678,-0.6246635,1.1846534,-0.41918573,-0.48847777,-0.0324495,-0.5287648,0.5483438
38,-0.979704,-0.07996321,0.07451166,-0.033747014,0.74754834,-1.543678,-0.6246635,1.1846534,-0.41918573,-0.48847777,-0.0324495,-0.5287648,0.5483438
39,-0.979704,-0.07996321,0.07451166,-0.033747014,0.74754834,-1.543678,-0.6246635,1.1846534,-0.41918573,-0.48847777,-0.0324495,-0.5287648,0.5483438
40,-0.61677045,-0.047723096,-0.14066891,0.103865996,0.5139907,-1.4203794,-0.40145996,0.77612495,-0.3847596,0.049286254,0.15359983,-0.091865435,0.0371041
41,-0.61677045,-0.047723096,-0.14066891,0.103865996,0.5139907,-1.4203794,-0.40145996,0.77612495,-0.3847596,0.049286254,0.15359983,-0.091865435,0.0371041
42,-0.61677045,-0.047723096,-0.14066891,0.103865996,0.5139907,-1.4203794,-0.40145996,0.77612495,-0.3847596,0.049286254,0.15359983,-0.091865435,0.0371041
43,-0.61677045,-0.047723096,-0.14066891,0.103865996,0.5139907,-1.4203794,-0.40145996,0.77612495,-0.3847596,0.049286254,0.15359983,-0.091865435,0.0371041
44,-0.61677045,-0.047723096,-0.14066891,0.103865996,0.5139907,-1.4203794,-0.40145996,0.77612495,-0.3847596,0.049286254,0.15359983,-0.091865435,0.0371041
45,-0.61677045,-0.047723096,-0.14066891,0.103865996,0.5139907,-1.4203794,-0.40145996,0.77612495,-0.3847596,0.049286254,0.15359983,-0.091865435,0.0371041
46,-0.61677045,-0.047723096,-0.14066891,0.103865996,0.5139907,-1.4203794,-0.40145996,0.77612495,-0.3847596,0.049286254,0.15359983,-0.091865435,0.0371041
47,-0.61677045,-0.047723096,-0.14066891,0.103865996,0.5139907,-1.4203794,-0.40145996,0.77612495,-0.3847596,0.049286254,0.15359983,-0.091865435,0.0371041
